LIMIT_BAL,AGE,code_repayment_sept,code_repayment_aug,code_repayment_july,code_repayment_june,code_repayment_may,code_repayment_april,Dues,Previous_payments,SEX_1,SEX_2,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3
150000.0,35,-1,-1,-1,0,0,-1,9133.0,7337.0,0,1,1,0,0,0,0,1,0
20000.0,41,0,0,0,0,0,0,122113.0,7411.0,0,1,0,1,0,0,1,0,0
310000.0,30,0,0,0,0,0,0,149213.0,12019.0,0,1,1,0,0,0,1,0,0
70000.0,26,1,2,2,2,2,2,324088.0,10889.0,0,1,1,0,0,0,0,1,0
50000.0,34,0,0,0,0,0,0,274358.0,11186.0,0,1,1,0,0,0,1,0,0
50000.0,57,2,2,-2,-2,-2,-2,50525.0,0.0,0,1,0,0,1,0,0,1,0
20000.0,35,0,0,0,0,0,-1,58493.0,9668.0,1,0,0,1,0,0,1,0,0
150000.0,48,0,0,0,-1,-1,-1,290263.0,34219.0,1,0,1,0,0,0,0,1,0
430000.0,28,0,0,0,0,0,0,2184569.0,195019.0,1,0,1,0,0,0,0,1,0
30000.0,28,0,0,0,0,2,2,170607.0,8000.0,0,1,0,1,0,0,0,1,0
300000.0,34,-2,-2,-2,-2,-2,-2,9474.0,0.0,0,1,0,0,0,1,1,0,0
210000.0,31,0,0,0,0,0,0,90318.0,24016.0,0,1,1,0,0,0,0,1,0
130000.0,25,1,-2,-2,-2,-2,-2,0.0,0.0,0,1,1,0,0,0,0,1,0
80000.0,31,-2,-2,-2,-2,-2,-2,0.0,0.0,0,1,0,1,0,0,1,0,0
30000.0,32,0,0,0,0,-2,-2,85945.0,20817.0,0,1,0,1,0,0,1,0,0
150000.0,28,0,0,0,0,0,0,524385.0,21500.0,0,1,1,0,0,0,0,1,0
280000.0,31,0,0,0,0,0,0,986646.0,37003.0,1,0,0,1,0,0,1,0,0
30000.0,30,0,0,0,0,0,-1,162801.0,44149.0,1,0,0,1,0,0,1,0,0
120000.0,36,0,0,0,0,0,0,71517.0,4971.0,0,1,0,0,1,0,1,0,0
140000.0,30,0,0,0,0,0,0,89482.0,12185.0,0,1,0,1,0,0,1,0,0
280000.0,63,-2,-2,-2,-2,-2,-2,0.0,0.0,1,0,1,0,0,0,1,0,0
220000.0,34,2,2,0,0,0,2,888651.0,61858.0,1,0,1,0,0,0,0,1,0
70000.0,24,1,2,0,0,0,0,11926.0,2623.0,0,1,0,1,0,0,0,0,1
140000.0,41,0,0,0,0,0,0,115854.0,13597.0,0,1,0,1,0,0,0,0,1
50000.0,23,-1,0,0,0,0,0,105086.0,6903.0,0,1,1,0,0,0,0,1,0
210000.0,29,0,0,0,-1,-1,0,545029.0,164819.0,0,1,0,1,0,0,1,0,0
210000.0,42,-2,-2,-2,-2,-2,-2,0.0,0.0,0,1,0,1,0,0,1,0,0
270000.0,36,-1,-1,-1,-1,-1,-1,34673.0,32176.0,0,1,1,0,0,0,0,1,0
230000.0,38,-1,-1,0,0,0,0,282526.0,82469.0,0,1,1,0,0,0,1,0,0
180000.0,49,0,0,0,0,0,0,542205.0,23284.0,0,1,0,0,1,0,1,0,0
50000.0,43,0,0,0,0,0,0,281639.0,11956.0,1,0,0,1,0,0,0,1,0
20000.0,29,0,0,0,0,0,0,54086.0,9600.0,1,0,0,0,1,0,0,1,0
50000.0,31,0,0,2,0,0,0,98764.0,8025.0,1,0,0,1,0,0,0,1,0
200000.0,31,-2,-2,-2,-2,-2,-2,23286.0,19872.0,0,1,1,0,0,0,0,1,0
300000.0,31,-1,-1,-1,-1,-1,-1,7874.0,6311.0,1,0,0,0,1,0,1,0,0
240000.0,26,0,0,-1,-1,-1,-1,59161.0,38813.0,0,1,0,1,0,0,0,1,0
100000.0,37,0,0,0,0,0,-1,153003.0,68592.0,1,0,0,0,1,0,1,0,0
170000.0,33,-1,-1,-1,-1,-1,-1,7430.0,5797.0,1,0,0,1,0,0,0,1,0
300000.0,45,0,0,0,0,0,0,755079.0,101830.0,0,1,1,0,0,0,0,1,0
440000.0,35,0,0,0,0,0,0,2320484.0,81824.0,1,0,1,0,0,0,0,1,0
110000.0,26,0,0,0,0,0,2,225988.0,9800.0,1,0,0,1,0,0,0,1,0
20000.0,24,0,0,0,0,2,2,98328.0,7764.0,1,0,0,0,1,0,0,1,0
80000.0,31,0,0,0,0,0,0,209851.0,10237.0,1,0,0,1,0,0,1,0,0
230000.0,40,0,0,0,0,0,0,402501.0,27290.0,0,1,0,1,0,0,0,1,0
80000.0,52,0,0,0,0,0,0,409168.0,14786.0,0,1,0,0,1,0,0,1,0
30000.0,26,0,0,0,0,0,0,157775.0,7251.0,1,0,0,1,0,0,0,1,0
180000.0,35,-1,-1,-1,-1,-1,-1,47368.0,37127.0,0,1,0,1,0,0,1,0,0
130000.0,45,-1,-1,-1,-1,-1,-1,11688.0,12615.0,1,0,0,0,1,0,1,0,0
290000.0,41,0,0,0,0,0,0,1515837.0,49000.0,0,1,0,1,0,0,0,1,0
260000.0,42,0,0,-1,-1,0,-1,66177.0,50224.0,0,1,1,0,0,0,1,0,0
200000.0,27,-1,-1,-1,-1,-1,-1,21962.0,17486.0,0,1,1,0,0,0,1,0,0
20000.0,29,-1,-1,-2,-1,0,-1,6120.0,6335.0,0,1,1,0,0,0,0,1,0
130000.0,48,-1,-1,-1,2,0,0,2105.0,109.0,0,1,0,1,0,0,0,0,1
300000.0,29,-2,-2,-2,-2,-2,-2,15435.0,13581.0,1,0,1,0,0,0,0,1,0
340000.0,39,0,0,0,0,0,0,1767174.0,64531.0,0,1,0,1,0,0,0,1,0
190000.0,35,0,0,0,0,0,0,657727.0,24000.0,0,1,0,1,0,0,0,1,0
110000.0,28,2,2,2,2,2,2,539258.0,20100.0,0,1,0,1,0,0,0,1,0
50000.0,44,0,0,0,0,0,0,198894.0,7542.0,1,0,0,0,1,0,0,1,0
20000.0,52,2,2,2,2,0,0,45634.0,5000.0,0,1,0,0,1,0,1,0,0
170000.0,29,-1,-1,-1,-1,-1,-1,7771.0,6734.0,0,1,0,1,0,0,0,1,0
130000.0,46,0,0,0,0,0,0,269043.0,13745.0,1,0,0,1,0,0,1,0,0
50000.0,54,2,2,2,0,0,0,170506.0,7419.0,0,1,1,0,0,0,1,0,0
500000.0,38,-1,-1,-1,-1,-1,-1,88169.0,110965.0,1,0,1,0,0,0,0,1,0
70000.0,42,0,0,2,0,0,0,376521.0,13500.0,0,1,0,0,1,0,0,1,0
470000.0,39,-1,-1,-1,-1,-1,-1,19755.0,20935.0,0,1,1,0,0,0,0,1,0
310000.0,31,0,0,0,0,0,0,941113.0,41512.0,0,1,1,0,0,0,0,1,0
500000.0,26,0,0,0,0,0,0,123560.0,14646.0,0,1,0,0,1,0,0,1,0
200000.0,51,1,2,2,0,0,2,577175.0,21865.0,0,1,0,1,0,0,1,0,0
140000.0,44,0,0,0,0,0,0,538564.0,20755.0,1,0,0,1,0,0,0,1,0
290000.0,37,-1,-1,-1,-1,-1,-1,2376.0,2376.0,0,1,0,0,1,0,0,1,0
60000.0,23,0,0,0,0,0,0,326218.0,16888.0,0,1,0,1,0,0,0,1,0
20000.0,41,-2,-2,-2,-2,-2,-2,7999.0,10108.0,0,1,0,0,1,0,0,0,1
450000.0,32,-2,-2,-2,-2,-2,-2,-30658.0,1979.0,1,0,0,1,0,0,0,1,0
50000.0,23,0,0,0,0,0,0,55712.0,3923.0,1,0,1,0,0,0,0,1,0
120000.0,51,0,0,0,2,2,2,193172.0,12500.0,0,1,0,0,1,0,1,0,0
50000.0,26,0,0,0,0,0,2,272913.0,12608.0,1,0,0,1,0,0,0,1,0
170000.0,31,-1,0,0,0,0,-2,249682.0,17300.0,0,1,0,1,0,0,1,0,0
160000.0,33,-1,-1,-1,-1,0,-1,82207.0,68661.0,0,1,0,1,0,0,1,0,0
30000.0,59,1,2,2,2,2,0,175347.0,5222.0,0,1,0,0,1,0,1,0,0
50000.0,45,0,0,0,0,0,0,31593.0,6291.0,0,1,0,0,1,0,0,1,0
160000.0,60,-2,-2,-2,-2,-2,-2,24326.0,8496.0,0,1,0,1,0,0,1,0,0
50000.0,22,0,0,0,0,0,0,199157.0,10068.0,1,0,0,1,0,0,0,1,0
180000.0,31,0,0,0,-1,-1,-1,27977.0,19474.0,0,1,0,1,0,0,0,1,0
190000.0,28,0,0,0,0,0,0,912875.0,36836.0,0,1,1,0,0,0,0,1,0
270000.0,29,1,-1,-1,-1,-2,-1,39342.0,45580.0,0,1,0,0,0,1,0,1,0
200000.0,38,2,-1,2,2,-2,-1,3979.0,2294.0,0,1,1,0,0,0,1,0,0
50000.0,25,3,3,2,2,2,2,223812.0,7640.0,0,1,0,1,0,0,0,1,0
220000.0,40,-2,-2,-2,-2,-2,-2,53020.0,53557.0,0,1,0,1,0,0,1,0,0
50000.0,48,0,0,0,0,0,0,122598.0,6156.0,1,0,0,1,0,0,0,1,0
240000.0,33,-1,0,0,0,0,0,198107.0,5777.0,0,1,1,0,0,0,1,0,0
50000.0,49,2,2,2,0,0,0,283016.0,10400.0,0,1,0,0,1,0,1,0,0
20000.0,31,-2,-2,-2,-2,-1,-1,1727.0,2528.0,1,0,0,1,0,0,1,0,0
50000.0,35,0,0,0,0,0,0,224154.0,10839.0,0,1,0,1,0,0,0,1,0
230000.0,32,-2,-2,-2,-2,-2,-2,9455.0,8287.0,0,1,0,1,0,0,0,1,0
70000.0,30,1,-1,0,0,0,0,72560.0,24529.0,1,0,0,1,0,0,0,1,0
20000.0,27,4,3,2,0,0,0,110153.0,0.0,0,1,0,1,0,0,0,1,0
300000.0,42,-1,-1,-1,-2,-2,-2,3387.0,1734.0,1,0,1,0,0,0,1,0,0
50000.0,25,0,0,0,0,0,0,270144.0,20205.0,0,1,0,1,0,0,0,1,0
440000.0,40,0,0,0,0,0,0,2487719.0,93500.0,0,1,1,0,0,0,1,0,0
20000.0,27,1,2,0,0,0,0,116455.0,3802.0,1,0,0,0,1,0,0,1,0
210000.0,35,0,0,0,0,0,0,414915.0,17100.0,0,1,0,1,0,0,1,0,0
50000.0,32,-1,-1,-1,-1,-1,2,2880.0,2880.0,0,1,0,1,0,0,1,0,0
30000.0,31,-1,-1,-1,-1,-1,-2,18348.0,13568.0,0,1,0,0,1,0,0,1,0
230000.0,31,-2,-2,-2,-2,-2,-2,0.0,0.0,0,1,1,0,0,0,1,0,0
80000.0,34,1,-2,-2,-2,-2,-2,0.0,0.0,0,1,0,0,1,0,0,1,0
70000.0,50,2,2,2,2,2,2,260589.0,11100.0,1,0,0,0,1,0,1,0,0
20000.0,21,0,0,-1,0,0,-2,40984.0,3573.0,1,0,0,1,0,0,0,1,0
160000.0,47,0,0,0,0,0,0,783030.0,30805.0,0,1,1,0,0,0,1,0,0
740000.0,35,2,-1,-1,-1,-1,-1,60741.0,67081.0,0,1,0,1,0,0,1,0,0
400000.0,40,-1,-1,-1,-1,-1,0,337631.0,211702.0,0,1,1,0,0,0,0,1,0
230000.0,35,0,0,-1,-1,-1,-1,10396.0,5133.0,0,1,1,0,0,0,1,0,0
30000.0,46,0,0,0,0,0,2,85616.0,7159.0,1,0,0,1,0,0,0,1,0
230000.0,47,-1,-1,-1,-1,-1,-1,30024.0,23824.0,0,1,0,0,1,0,1,0,0
100000.0,40,0,0,0,0,0,0,512087.0,19500.0,0,1,0,0,1,0,1,0,0
80000.0,27,1,-2,-2,-1,0,0,74622.0,40374.0,1,0,0,1,0,0,0,1,0
300000.0,29,-1,-1,-1,-1,0,-1,14913.0,34811.0,0,1,0,1,0,0,1,0,0
200000.0,44,-1,-1,-1,-1,-1,-1,11915.0,18144.0,1,0,0,1,0,0,0,1,0
500000.0,44,-2,-1,0,0,0,-1,1220045.0,914620.0,0,1,1,0,0,0,1,0,0
110000.0,28,0,0,0,-1,-1,-1,112048.0,99186.0,0,1,0,1,0,0,0,1,0
20000.0,27,0,0,0,-2,-2,-2,20753.0,2000.0,1,0,0,1,0,0,1,0,0
150000.0,23,2,0,0,-1,0,0,419942.0,342525.0,1,0,0,1,0,0,0,1,0
260000.0,39,0,0,-1,-1,-1,2,8288.0,10801.0,1,0,0,0,1,0,1,0,0
50000.0,23,0,0,0,0,-1,0,148209.0,50155.0,0,1,0,1,0,0,1,0,0
70000.0,45,0,0,0,0,0,0,267341.0,20500.0,1,0,0,1,0,0,1,0,0
70000.0,29,0,0,0,0,0,0,153830.0,10000.0,0,1,0,0,1,0,1,0,0
360000.0,43,-2,-2,-2,-2,-2,-2,0.0,84216.0,0,1,0,1,0,0,0,1,0
50000.0,50,0,0,0,0,0,0,196535.0,23500.0,0,1,0,0,1,0,1,0,0
170000.0,29,-1,-1,-1,-1,0,-1,157082.0,161775.0,0,1,0,1,0,0,1,0,0
450000.0,44,0,0,0,0,0,0,71131.0,26626.0,0,1,0,1,0,0,1,0,0
240000.0,31,2,0,0,0,0,0,435451.0,15802.0,0,1,0,1,0,0,1,0,0
500000.0,34,-1,0,0,0,0,0,1133586.0,100016.0,0,1,1,0,0,0,0,1,0
30000.0,25,0,0,0,0,0,0,128802.0,8103.0,1,0,1,0,0,0,0,1,0
150000.0,34,-1,0,0,0,0,0,107634.0,43756.0,0,1,1,0,0,0,0,1,0
400000.0,38,0,0,0,0,-1,-1,15041.0,4808.0,0,1,0,1,0,0,0,1,0
290000.0,35,1,-2,-2,-2,-2,-2,0.0,0.0,0,1,1,0,0,0,1,0,0
70000.0,24,0,0,-2,-1,-1,-1,52756.0,23540.0,0,1,0,1,0,0,0,1,0
410000.0,32,0,0,0,0,2,2,186981.0,43216.0,1,0,1,0,0,0,0,1,0
130000.0,28,0,0,0,-1,-1,-1,226978.0,24376.0,0,1,0,1,0,0,1,0,0
10000.0,22,1,-2,-2,-2,-2,-2,-400.0,400.0,0,1,0,1,0,0,0,1,0
40000.0,26,0,0,0,0,0,0,104541.0,21066.0,1,0,1,0,0,0,0,1,0
210000.0,37,0,0,0,0,0,0,376226.0,15500.0,1,0,0,1,0,0,1,0,0
180000.0,33,-1,-1,-1,-1,-1,-1,11151.0,8807.0,0,1,1,0,0,0,1,0,0
80000.0,25,0,0,0,0,0,0,24473.0,2397.0,0,1,1,0,0,0,0,1,0
50000.0,33,0,0,0,0,0,0,96451.0,10115.0,1,0,1,0,0,0,0,1,0
50000.0,25,0,0,0,0,0,0,256923.0,11614.0,1,0,1,0,0,0,0,1,0
180000.0,29,-1,-1,-1,-1,-1,-1,24857.0,21050.0,1,0,1,0,0,0,0,1,0
360000.0,35,1,-2,-2,-2,-2,-2,2376.0,2376.0,1,0,1,0,0,0,1,0,0
240000.0,28,0,0,0,0,0,0,862947.0,29322.0,1,0,1,0,0,0,0,1,0
290000.0,47,-1,-1,-2,-2,-2,-2,1200.0,4634.0,1,0,0,0,1,0,1,0,0
320000.0,30,0,0,0,0,0,0,169760.0,5512.0,1,0,0,1,0,0,0,1,0
360000.0,42,0,-1,-1,-1,-1,-1,122035.0,91199.0,1,0,1,0,0,0,1,0,0
120000.0,26,1,-1,2,-1,0,-1,4557.0,4557.0,0,1,0,0,1,0,0,1,0
110000.0,41,2,2,2,2,2,2,161140.0,9700.0,0,1,0,1,0,0,1,0,0
380000.0,44,0,0,0,0,0,0,1715443.0,56348.0,1,0,0,0,1,0,1,0,0
140000.0,33,0,0,0,0,0,2,379853.0,19015.0,0,1,0,1,0,0,0,1,0
30000.0,30,2,2,2,3,2,2,80384.0,5000.0,0,1,1,0,0,0,1,0,0
100000.0,40,0,0,-1,-1,-2,-2,22957.0,44377.0,1,0,0,0,1,0,1,0,0
230000.0,36,-2,-2,-2,-2,-2,-1,77243.0,83152.0,0,1,0,1,0,0,1,0,0
300000.0,41,-1,-1,-1,-1,-1,-2,77859.0,12965.0,0,1,1,0,0,0,1,0,0
90000.0,30,0,0,0,-2,-2,-2,86927.0,89000.0,1,0,0,1,0,0,0,1,0
240000.0,35,-1,-1,-1,-1,-1,-1,8838.0,7755.0,0,1,0,1,0,0,1,0,0
380000.0,36,-1,-1,-1,-1,-1,-2,4375.0,17526.0,0,1,1,0,0,0,1,0,0
20000.0,36,1,2,0,0,0,0,77746.0,4063.0,1,0,0,1,0,0,1,0,0
360000.0,32,0,0,0,2,0,0,111541.0,14549.0,1,0,0,1,0,0,0,1,0
210000.0,41,0,0,0,0,0,0,696699.0,24018.0,0,1,0,1,0,0,0,1,0
400000.0,47,-2,-2,-2,-2,-2,-2,41869.0,40184.0,0,1,0,0,1,0,1,0,0
230000.0,39,-1,-1,-1,-1,-1,-1,47249.0,42889.0,1,0,0,1,0,0,1,0,0
80000.0,40,-1,0,-1,-1,-1,-1,22365.0,19471.0,0,1,0,1,0,0,1,0,0
260000.0,40,-1,-1,-1,-1,-1,0,5263.0,4632.0,0,1,0,1,0,0,1,0,0
150000.0,30,1,-1,2,-1,-1,-1,78300.0,79530.0,1,0,1,0,0,0,1,0,0
120000.0,41,0,0,0,0,0,0,251432.0,9923.0,1,0,0,1,0,0,1,0,0
300000.0,28,0,0,0,0,0,0,1825978.0,57171.0,0,1,0,1,0,0,0,1,0
180000.0,48,-1,2,2,-2,-2,-2,1838.0,0.0,1,0,0,1,0,0,1,0,0
20000.0,28,-1,2,2,2,0,0,34104.0,9000.0,1,0,0,0,1,0,0,1,0
80000.0,35,0,0,0,0,0,0,198109.0,36500.0,1,0,0,1,0,0,0,1,0
80000.0,33,-2,-1,2,0,0,0,538763.0,16700.0,1,0,1,0,0,0,0,1,0
80000.0,47,2,0,0,0,0,0,398639.0,16269.0,0,1,0,1,0,0,1,0,0
20000.0,24,-1,-1,-1,-1,0,-1,4086.0,9347.0,0,1,1,0,0,0,0,1,0
20000.0,23,-1,-1,-1,-1,-1,-2,1665.0,1373.0,0,1,1,0,0,0,0,1,0
200000.0,28,0,0,0,0,0,2,314751.0,26100.0,1,0,1,0,0,0,0,1,0
240000.0,36,0,0,0,0,0,0,1313754.0,42569.0,0,1,0,1,0,0,1,0,0
360000.0,30,0,0,0,-2,-2,-2,198825.0,97709.0,0,1,0,1,0,0,1,0,0
310000.0,62,2,2,2,2,2,2,1865653.0,57757.0,0,1,1,0,0,0,1,0,0
320000.0,30,0,0,0,0,0,0,476972.0,66934.0,0,1,0,1,0,0,1,0,0
130000.0,30,0,0,0,0,0,-2,81995.0,9000.0,0,1,0,1,0,0,1,0,0
200000.0,67,1,-2,-2,-2,-2,-2,0.0,0.0,1,0,1,0,0,0,1,0,0
70000.0,56,0,0,-2,-2,-2,-1,17976.0,7770.0,0,1,0,0,1,0,1,0,0
120000.0,26,2,2,2,2,0,0,665632.0,29736.0,1,0,0,1,0,0,0,1,0
130000.0,28,2,2,2,2,0,0,716456.0,22854.0,1,0,0,1,0,0,0,1,0
110000.0,33,0,0,0,0,0,0,608681.0,43992.0,0,1,1,0,0,0,0,0,1
130000.0,33,1,-2,-2,-2,-2,-2,0.0,0.0,0,1,1,0,0,0,0,1,0
180000.0,31,0,0,0,2,2,2,990889.0,53017.0,0,1,1,0,0,0,1,0,0
360000.0,26,-1,-1,-1,-1,-1,-1,93144.0,102931.0,0,1,1,0,0,0,0,1,0
230000.0,24,0,0,0,0,2,0,453515.0,19300.0,1,0,0,0,1,0,0,1,0
20000.0,46,-1,-1,-1,0,0,-2,12169.0,10800.0,0,1,0,1,0,0,0,1,0
50000.0,23,-1,-1,2,-1,-1,-1,25230.0,21433.0,0,1,1,0,0,0,0,1,0
80000.0,41,0,0,0,0,0,-1,113935.0,25860.0,0,1,0,0,1,0,1,0,0
260000.0,53,0,0,0,0,0,0,1231884.0,60090.0,0,1,0,1,0,0,1,0,0
50000.0,23,0,0,0,-1,-1,-1,26949.0,7979.0,1,0,0,0,1,0,0,1,0
320000.0,34,-1,-1,-1,-1,0,-1,154061.0,137071.0,0,1,0,1,0,0,0,1,0
20000.0,22,1,-1,-1,-2,-2,-2,4239.0,2000.0,0,1,0,1,0,0,0,1,0
250000.0,32,-1,-1,-1,-1,-1,-1,5160.0,4740.0,0,1,0,0,1,0,1,0,0
50000.0,26,-2,-2,-2,-2,-2,-2,0.0,0.0,1,0,0,0,1,0,0,1,0
200000.0,37,1,-2,-2,-2,-1,-1,595.0,2965.0,0,1,1,0,0,0,1,0,0
80000.0,29,2,2,2,2,2,0,350193.0,18800.0,0,1,1,0,0,0,0,1,0
80000.0,65,2,0,0,0,0,0,387467.0,13349.0,0,1,0,0,1,0,0,1,0
150000.0,26,1,-2,-2,-2,-1,-1,741.0,2410.0,0,1,0,0,0,1,1,0,0
170000.0,32,0,0,0,0,-1,0,36424.0,40562.0,0,1,0,1,0,0,0,1,0
40000.0,29,1,-2,-2,-2,-2,-2,0.0,0.0,1,0,1,0,0,0,0,1,0
60000.0,25,0,0,0,0,0,0,222532.0,10800.0,0,1,0,1,0,0,0,1,0
210000.0,33,0,0,0,0,0,0,1182014.0,48861.0,1,0,0,1,0,0,0,1,0
170000.0,35,-1,-1,-2,-2,-2,-1,2358.0,2400.0,1,0,1,0,0,0,1,0,0
360000.0,39,0,0,0,0,0,0,745299.0,211416.0,1,0,1,0,0,0,0,1,0
